Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Gasto per capita
2019-09,2019,9,País Vasco,T.FRUTAS FRESCAS,18411.72,29763.87,1.62,93.18,8.71,14.08
2019-09,2019,9,Comunitat Valenciana,T.FRUTAS FRESCAS,36483.81,51978.83,1.42,94.89,7.51,10.7
2019-10,2019,10,Andalucía,T.HORTALIZAS FRESCAS,38518.85,69621.92,1.81,96.47,4.44,8.02
2019-10,2019,10,Aragón,T.HORTALIZAS FRESCAS,8722.27,16347.62,1.87,96.69,6.66,12.48
2019-10,2019,10,Principado de Asturias,T.HORTALIZAS FRESCAS,4120.82,8231.64,2,94.56,3.83,7.66
2019-10,2019,10,Illes Balears,T.HORTALIZAS FRESCAS,5866.54,12651.66,2.16,99.56,5.56,11.99
2019-10,2019,10,Canarias,T.HORTALIZAS FRESCAS,9381.3,17827.78,1.9,95.06,4.25,8.07
2019-10,2019,10,Cantabria,T.HORTALIZAS FRESCAS,2575.7,5090.15,1.98,97.45,4.57,9.03
2019-10,2019,10,Castilla-La Mancha,T.HORTALIZAS FRESCAS,8128.87,15132.16,1.86,95.3,3.88,7.22
2019-10,2019,10,Castilla y León,T.HORTALIZAS FRESCAS,11701.08,20604.82,1.76,90.43,4.87,8.57
2019-10,2019,10,Cataluña\/Catalunya,T.HORTALIZAS FRESCAS,40508.12,79459.66,1.96,97.04,5.66,11.1
2019-10,2019,10,Extremadura,T.HORTALIZAS FRESCAS,6717.86,11866.61,1.77,98.53,5.71,10.08
2019-10,2019,10,Galicia,T.HORTALIZAS FRESCAS,13839.8,25662.86,1.85,94.05,5.1,9.45
2019-10,2019,10,La Rioja,T.HORTALIZAS FRESCAS,1119.7,2407.06,2.15,90.74,3.46,7.43
2019-10,2019,10,Comunidad de Madrid,T.HORTALIZAS FRESCAS,29270.15,54823.76,1.87,97.41,4.63,8.66
2019-10,2019,10,Región de Murcia,T.HORTALIZAS FRESCAS,6575.9,12182.99,1.85,94.7,4.57,8.46
2019-10,2019,10,Comunidad Foral de Navarra,T.HORTALIZAS FRESCAS,8539.26,16513.95,1.93,98.09,14.29,27.63
2019-10,2019,10,País Vasco,T.HORTALIZAS FRESCAS,11123.66,21621.9,1.94,97.38,5.26,10.23
2019-10,2019,10,Comunitat Valenciana,T.HORTALIZAS FRESCAS,25243.48,49787.9,1.97,96.57,5.2,10.25
2019-10,2019,10,Andalucía,T.FRUTAS FRESCAS,56686.45,95964.79,1.69,94.85,6.53,11.05
2019-10,2019,10,Aragón,T.FRUTAS FRESCAS,9794.98,17188.5,1.75,94.51,7.48,13.12
2019-10,2019,10,Principado de Asturias,T.FRUTAS FRESCAS,9078.37,15799.12,1.74,95.6,8.45,14.7
2019-10,2019,10,Illes Balears,T.FRUTAS FRESCAS,8990.24,16090.57,1.79,96.11,8.52,15.25
